year,sport,country,countrycode,numeric,number_of_athletes,Bronze_medal_count,Silver_medal_count,Gold_medal_count,medal_count
1948,Art Competitions,Austria,AUT,040,45,1,2,1,4
1948,Art Competitions,Belgium,BEL,056,7,0,0,0,0
1948,Art Competitions,Canada,CAN,124,25,0,1,0,1
1948,Art Competitions,Switzerland,CHE,756,33,1,3,0,4
1948,Art Competitions,China,CHN,156,5,0,0,0,0
1948,Art Competitions,Denmark,DNK,208,6,1,1,0,2
1948,Art Competitions,Spain,ESP,724,1,0,0,0,0
1948,Art Competitions,Finland,FIN,246,7,1,1,2,4
1948,Art Competitions,France,FRA,250,35,2,0,1,3
1948,Art Competitions,United Kingdom,GBR,826,173,1,2,1,4
1948,Art Competitions,Greece,GRC,300,5,0,0,0,0
1948,Art Competitions,Hungary,HUN,348,2,1,0,0,1
1948,Art Competitions,India,IND,356,2,0,0,0,0
1948,Art Competitions,Ireland,IRL,372,12,1,0,0,1
1948,Art Competitions,Iceland,ISL,352,1,0,0,0,0
1948,Art Competitions,Italy,ITA,380,47,2,1,1,4
1948,Art Competitions,Netherlands,NLD,528,12,0,0,0,0
1948,Art Competitions,Norway,NOR,578,1,0,0,0,0
1948,Art Competitions,Philippines,PHL,608,2,0,0,0,0
1948,Art Competitions,Poland,POL,616,15,0,0,1,1
1948,Art Competitions,Portugal,PRT,620,1,0,0,0,0
1948,Art Competitions,Sweden,SWE,752,7,1,0,1,2
1948,Art Competitions,Turkey,TUR,792,1,0,0,0,0
1948,Art Competitions,Uruguay,URY,858,2,0,0,0,0
1948,Art Competitions,South Africa,ZAF,710,4,1,1,0,2
1948,Athletics,Argentina,ARG,032,38,0,1,1,2
1948,Athletics,Australia,AUS,036,34,2,6,1,9
1948,Athletics,Austria,AUT,040,24,1,0,1,2
1948,Athletics,Belgium,BEL,056,26,1,0,1,2
1948,Athletics,Bermuda,BMU,060,16,0,0,0,0
1948,Athletics,Brazil,BRA,076,27,0,0,0,0
1948,Athletics,Canada,CAN,124,45,4,0,0,4
1948,Athletics,Switzerland,CHE,756,24,1,1,0,2
1948,Athletics,Chile,CHL,152,24,0,0,0,0
1948,Athletics,China,CHN,156,5,0,0,0,0
1948,Athletics,Colombia,COL,170,4,0,0,0,0
1948,Athletics,Cuba,CUB,192,7,0,0,0,0
1948,Athletics,Denmark,DNK,208,19,1,0,0,1
1948,Athletics,Egypt,EGY,818,3,0,0,0,0
1948,Athletics,Spain,ESP,724,10,0,0,0,0
1948,Athletics,Finland,FIN,246,42,0,2,1,3
1948,Athletics,France,FRA,250,82,3,6,2,11
1948,Athletics,United Kingdom,GBR,826,94,1,9,0,10
1948,Athletics,Greece,GRC,300,26,0,0,0,0
1948,Athletics,Guyana,GUY,328,2,0,0,0,0
1948,Athletics,Hungary,HUN,348,16,1,0,2,3
1948,Athletics,India,IND,356,10,0,0,0,0
1948,Athletics,Ireland,IRL,372,12,0,0,0,0
1948,Athletics,Iraq,IRQ,368,3,0,0,0,0
1948,Athletics,Iceland,ISL,352,17,0,0,0,0
1948,Athletics,Italy,ITA,380,28,4,3,1,8
1948,Athletics,Jamaica,JAM,388,23,0,2,1,3
1948,Athletics,South Korea,KOR,410,11,0,0,0,0
1948,Athletics,Liechtenstein,LIE,438,2,0,0,0,0
1948,Athletics,Sri Lanka,LKA,144,6,0,1,0,1
1948,Athletics,Luxembourg,LUX,442,8,0,0,0,0
1948,Athletics,Mexico,MEX,484,7,0,0,0,0
1948,Athletics,Malta,MLT,470,1,0,0,0,0
1948,Athletics,Myanmar,MMR,104,2,0,0,0,0
1948,Athletics,Netherlands,NLD,528,38,2,0,7,9
1948,Athletics,Norway,NOR,578,24,0,1,0,1
1948,Athletics,New Zealand,NZL,554,4,0,0,0,0
1948,Athletics,Pakistan,PAK,586,8,0,0,0,0
1948,Athletics,Panama,PAN,591,2,2,0,0,2
1948,Athletics,Peru,PER,604,13,0,0,0,0
1948,Athletics,Philippines,PHL,608,2,0,0,0,0
1948,Athletics,Poland,POL,616,9,0,0,0,0
1948,Athletics,Puerto Rico,PRI,630,4,0,0,0,0
1948,Athletics,Portugal,PRT,620,5,0,0,0,0
1948,Athletics,Singapore,SGP,702,1,0,0,0,0
1948,Athletics,Sweden,SWE,752,57,8,3,5,16
1948,Athletics,Trinidad and Tobago,TTO,780,6,0,0,0,0
1948,Athletics,Turkey,TUR,792,28,1,0,0,1
1948,Athletics,Uruguay,URY,858,13,0,0,0,0
1948,Athletics,United States,USA,840,99,10,5,18,33
1948,Athletics,South Africa,ZAF,710,9,0,0,0,0
1948,Basketball,Argentina,ARG,032,14,0,0,0,0
1948,Basketball,Belgium,BEL,056,14,0,0,0,0
1948,Basketball,Brazil,BRA,076,10,10,0,0,10
1948,Basketball,Canada,CAN,124,14,0,0,0,0
1948,Basketball,Switzerland,CHE,756,14,0,0,0,0
1948,Basketball,Chile,CHL,152,12,0,0,0,0
1948,Basketball,China,CHN,156,10,0,0,0,0
1948,Basketball,Cuba,CUB,192,13,0,0,0,0
1948,Basketball,Egypt,EGY,818,12,0,0,0,0
1948,Basketball,France,FRA,250,14,0,14,0,14
1948,Basketball,United Kingdom,GBR,826,13,0,0,0,0
1948,Basketball,Hungary,HUN,348,12,0,0,0,0
1948,Basketball,Ireland,IRL,372,13,0,0,0,0
1948,Basketball,Iran,IRN,364,13,0,0,0,0
1948,Basketball,Iraq,IRQ,368,10,0,0,0,0
1948,Basketball,Italy,ITA,380,14,0,0,0,0
1948,Basketball,South Korea,KOR,410,9,0,0,0,0
1948,Basketball,Mexico,MEX,484,14,0,0,0,0
1948,Basketball,Peru,PER,604,11,0,0,0,0
1948,Basketball,Philippines,PHL,608,10,0,0,0,0
1948,Basketball,Uruguay,URY,858,13,0,0,0,0
1948,Basketball,United States,USA,840,14,0,0,14,14
1948,Boxing,Argentina,ARG,032,8,1,0,2,3
1948,Boxing,Australia,AUS,036,7,0,0,0,0
1948,Boxing,Austria,AUT,040,5,0,0,0,0
1948,Boxing,Belgium,BEL,056,8,0,1,0,1
1948,Boxing,Brazil,BRA,076,3,0,0,0,0
1948,Boxing,Canada,CAN,124,7,0,0,0,0
1948,Boxing,Switzerland,CHE,756,4,0,0,0,0
1948,Boxing,Chile,CHL,152,5,0,0,0,0
1948,Boxing,Denmark,DNK,208,6,1,0,0,1
1948,Boxing,Egypt,EGY,818,5,0,0,0,0
1948,Boxing,Spain,ESP,724,8,0,0,0,0
1948,Boxing,Finland,FIN,246,6,0,0,0,0
1948,Boxing,France,FRA,250,8,0,0,0,0
1948,Boxing,United Kingdom,GBR,826,8,0,2,0,2
1948,Boxing,Hungary,HUN,348,6,0,0,2,2
1948,Boxing,India,IND,356,7,0,0,0,0
1948,Boxing,Ireland,IRL,372,8,0,0,0,0
1948,Boxing,Iran,IRN,364,8,0,0,0,0
