,country,countrycode,numeric
0,Afghanistan,AFG,004
1,Albania,ALB,008
2,Algeria,DZA,012
3,American Samoa,ASM,016
4,Andorra,AND,020
5,Angola,AGO,024
6,Antigua and Barbuda,ATG,028
7,Argentina,ARG,032
8,Armenia,ARM,051
9,Aruba,ABW,533
10,Australia,AUS,036
11,Austria,AUT,040
12,Azerbaijan,AZE,031
13,Bahamas,BHS,044
14,Bangladesh,BGD,050
15,Barbados,BRB,052
16,Belarus,BLR,112
17,Belgium,BEL,056
18,Belize,BLZ,084
19,Benin,BEN,204
20,Bermuda,BMU,060
21,Bhutan,BTN,064
22,Bolivia,BOL,068
23,Bosnia and Herzegovina,BIH,070
24,Botswana,BWA,072
25,Brazil,BRA,076
26,British Virgin Islands,VGB,092
27,Brunei,BRN,096
28,Bulgaria,BGR,100
29,Burkina Faso,BFA,854
30,Burundi,BDI,108
31,Cabo Verde,CPV,132
32,Cambodia,KHM,116
33,Cameroon,CMR,120
34,Canada,CAN,124
35,Cayman Islands,CYM,136
36,Central African Republic,CAF,140
37,Chad,TCD,148
38,Chile,CHL,152
39,China,CHN,156
40,Colombia,COL,170
41,Comoros,COM,174
42,Cook Islands,COK,184
43,Costa Rica,CRI,188
44,Croatia,HRV,191
45,Cuba,CUB,192
46,Cyprus,CYP,196
47,Czechia,CZE,203
48,Côte d'Ivoire,CIV,384
49,Democratic Republic of the Congo,COD,180
50,Denmark,DNK,208
51,Djibouti,DJI,262
52,Dominica,DMA,212
53,Dominican Republic,DOM,214
54,Ecuador,ECU,218
55,Egypt,EGY,818
56,El Salvador,SLV,222
57,Equatorial Guinea,GNQ,226
58,Eritrea,ERI,232
59,Estonia,EST,233
60,Eswatini,SWZ,748
61,Ethiopia,ETH,231
62,Federated States of Micronesia,FSM,583
63,Fiji,FJI,242
64,Finland,FIN,246
65,France,FRA,250
66,Gabon,GAB,266
67,Gambia,GMB,270
68,Georgia,GEO,268
69,Germany,DEU,276
70,Ghana,GHA,288
71,Greece,GRC,300
72,Grenada,GRD,308
73,Guam,GUM,316
74,Guatemala,GTM,320
